176 distinct item(s) named in run/calibration.jsonl
judge granite4:7b-a1b-h@566b725534ea quant=Q4_K_M
  [55/176] 4e2e984450e1490bb325678f5a7e7e9f: supported
  [56/176] 4eb44226c462451bb74d8e2f52d0e532: supported
  [57/176] 4ee45ea30818416bb95a41aa6940d7bc: supported
  [58/176] 513374d82c6943c48295a0822e849c2e: supported
  [59/176] 52e0b4a4f04d41dc9bc648ed1c6a34dc: supported
  [60/176] 53118b029b95462d91d280bf6d2cfce5: supported
  [61/176] 5479a289d6e94f7ab555ee3a2768f67c: supported
  [62/176] 55f0fb18e52042809f1720e624119288: supported
  [63/176] 582e0c38e55742d7a1c74c95808dfdb1: supported
  [64/176] 582f3b20684d4040a39c951edf18a4aa: supported
  [65/176] 5ad54c41525048e6ada6c29b644c6eeb: supported
  [66/176] 5cbb7131c3a74733a5753d6e89f55fda: supported
  [67/176] 5e84b6fd87554bcfa406cf889fe9fe3b: supported
  [68/176] 604c7f3fc48d4013b1f9509b74051986: supported
  [69/176] 608d6d66abe2415eb4b098e4e23b6b46: supported
  [70/176] 63261657961d4ea78e700c086077c16c: supported
  [71/176] 64e767e5122348cd8fd59ffd52b16359: supported
  [72/176] 65704ff7700641e39b51b474c3d2d903: supported
  [73/176] 66c4198f85f940c4a9e61897e7b1a837: supported
  [74/176] 67073acfc1ea4c8f9b41ba331352f41a: supported
  [75/176] 697e3b1eb8934dc89983238fdbc5c6e1: supported
  [76/176] 6ba2b8666fb64e199e3b99074e92b2d4: supported
  [77/176] 6bd49d3539644f8d984bc9e5222b1a38: supported
  [78/176] 6c07ce86a54e42ba9770b3cf30135ce5: supported
  [79/176] 6ce8778752e94d42ba6a941c6c13a6c5: supported
  [80/176] 6f2eb688fc6643febcc967dfe38e5931: supported
  [81/176] 7227aacf86824352b964b2a1c9591f4e: supported
  [82/176] 72dca89bb247484285ebe6575bffcc06: supported
  [83/176] 730e470f9359480497d3c858d4f628f6: supported
  [84/176] 7428bd8027c7465c849afe31e836aeb9: supported
  [85/176] 74983bb929694f70a82ffb4ae86239b7: supported
  [86/176] 76b8216ff5474466922cc53d1a7cc434: supported
  [87/176] 783bafe9145c419a8f1922d713362098: supported
  [88/176] 78491cd2c89948088bc19eb7b39d171d: supported
  [89/176] 7e2ebb81bb704c36843e253663299ac2: supported
  [90/176] 7e40281b187547a49cc7c0934c5c3ead: supported
  [91/176] 7eb9805f09f14b76bb8bf52745f42b5f: supported
  [92/176] 8012d98d3f4940539be83fc0f4a0fa1a: supported
  [93/176] 80982a8b7a7346ebb3a7a59e974ddade: supported
  [94/176] 83c9aadec412479da29c946be73df0d8: supported
  [95/176] 83cae360985349368c4801456ebb04fa: supported
  [96/176] 84db283315a04389a23067c2ea58fd73: supported
  [97/176] 861024aed7554b7393bbf0422ca16275: not_supported
  [98/176] 8626011ea5164b7f8d231991e719c0c1: supported
  [99/176] 86341385f7354ca9917c8f6b03a1ab93: supported
  [100/176] 86c85630c97046a8a9c897729a5806f9: supported
  [101/176] 86c9e04a51454814bc861fc97fe18e1a: supported
  [102/176] 86d6aa74b91a4db9af3d95a9e928a963: supported
  [103/176] 87042b9ee9d84d0194d14f1b39a9b271: supported
  [104/176] 891cbbde0a3840f39e621b7a2fe7dc2b: supported
  [105/176] 89efaee0cd4a41369c55c6ccb2d76001: supported
  [106/176] 8b4203e22c004420bcfc0536f87ef606: supported
  [107/176] 8d17cb4a3de946409e097e4ea14b5376: supported
  [108/176] 8d5e9c36a8e9419dae2f32df692ca9c0: supported
  [109/176] 8e3b4d39ffe74093b2039dde0321289c: supported
  [110/176] 8f578af980c640499747ae545ff40172: supported
  [111/176] 934c600aad8c4e5aafc2a4821b6176c8: supported
  [112/176] 95f386addf9048edab68fafb467182ab: supported
  [113/176] 960dc387418f46ce91c187346d0c2c49: supported
  [114/176] 9720b0a265414be1930b1405a72d3ca2: not_supported
  [115/176] 9d44edda1ba64a44b9d1fcd60afef25d: supported
  [116/176] 9dd99f382ab34a88b53cbdfd57ea8ca3: supported
  [117/176] 9f7a515eaffb4274a002788a2ca31647: supported
  [118/176] 9fb410fdff5645f48adb7a230ab8336f: supported
  [119/176] a03c021dd9584698a44fc44e64da0fe2: supported
  [120/176] a0ee0c0b71d74b928613003418659d87: supported
  [121/176] a625903566894887afda442f53f52bea: not_supported
  [122/176] a816ee6eb53d4932b9adb3c6df14681b: supported
  [123/176] a9039e0cde5e4aa8a013dd6e05c19bc0: supported
  [124/176] ab91f7b9c3a14cefa3a7e357612219f7: supported
  [125/176] adf1a126d8f34ad8b8fa70e3aa3872ee: supported
  [126/176] ae5677ee51d44e02908a6820787aac1e: supported
  [127/176] aeb657b5063f4e9d82177be8577db111: supported
  [128/176] b0e333fb91be4d3eadec47aaaaaf8e40: supported
  [129/176] b3d964037c0b4ccb827063e1404f2780: supported
  [130/176] b4862ba6a28a409ba8566698025c9f30: not_supported
  [131/176] b8803f65d75a4d4083a03a4d1ae2d66f: supported
  [132/176] b8c8ea171f3e4ceeb54642b9aa86c0c4: supported
  [133/176] b97c6ec745b141cbaf06cfd4112bf5c0: supported
  [134/176] bd29b042917d4a6ab580d9891550f7ec: supported
  [135/176] bd82c1f9c962418980526c3e198bdd81: supported
  [136/176] bed7d05464b54f29a84e5eb0ebc13e3a: supported
  [137/176] c5ee2e9db57c44e1bf89ffd08497bfe5: supported
  [138/176] c7843697e778485194a7f076be58cf5b: supported
  [139/176] ca6c7bd6b7414d9eb73dfdceda232f79: supported
  [140/176] cb1a7402610e4c68bdd49f27592bc200: supported
  [141/176] cca2ca9d54f144d0b8f7df403077fac3: supported
  [142/176] ccb1277ecbbf4d7aa57d73027aaf65e1: supported
  [143/176] cd35d1c7bb2d44f0a0d658ed5e0bcfad: supported
  [144/176] cde197cf15ba4b85999ed672aa180373: supported
  [145/176] d5e0737eac574051b85b464a48fa1b85: supported
  [146/176] d609d3239ba7460ab24fc72500678a47: supported
  [147/176] d708f1d7ad2c4c52a2580ecbe3d73be8: not_supported
  [148/176] d7a618c596d74d2396d54d682fc3dcbb: supported
  [149/176] d9a8a31a02f449de9780684d2cc8365a: supported
  [150/176] da85eb37ef9e43b9ba51c54c57760830: supported
  [151/176] dc7deab6fe0e4f7a9097d938f7cea893: supported
  [152/176] dd944f6cc5984bffb5e3c704ae839ac0: supported
  [153/176] de87236806644d2ba76021de9d0a7d21: supported
  [154/176] e0387971c8e743beb6bafde1a42f349d: supported
  [155/176] e27b45ed676044939dce42c47fe195ff: supported
  [156/176] e3fe5de4296b464a9aabefb7b62cbb16: supported
  [157/176] ea758b7e7f9348eaa3c51d9753387edf: supported
  [158/176] ebfba2694264442c9f3a2a3134cfd5a7: supported
  [159/176] ec04f258b1da411c99122d3467e7cf25: supported
  [160/176] f01011553c6547cebfb46cc01b775e22: not_supported
  [161/176] f158bbca2b4342d3aa6dce709afecc30: supported
  [162/176] f31b0d8de1bc466680cc68cc5b7da59d: supported
  [163/176] f33a9085f2694b888272559b1d1f7d57: supported
  [164/176] f38598094c5f4e3fb0892fd9d906a135: supported
  [165/176] f3d6fa415a7e4bb783e1a714820da7ce: supported
  [166/176] f44fd2dff54a4b4eb754dc43bd230185: supported
  [167/176] f512493cdac741e88a3485ebe36e58e1: supported
  [168/176] f71ba03e96c24cfe9de1eaa9bf1d16fc: supported
  [169/176] fa27907a724848f0af3ce7b564eb5a2b: supported
  [170/176] fbeaf6e47b7e44c7aa4ccfabdba2938c: supported
  [171/176] fc00a3ccfaf14639aa52568bf141e0eb: supported
  [172/176] fc213e541af844e4a06c64c5d04e17d4: supported
  [173/176] fc9ea0f9232644beb49d206b597093e9: supported
  [174/176] fe950896061446348e13eae75c210c09: supported
  [175/176] fe96f676800f4d589e0d89aed3dfdfaa: supported
  [176/176] ffb293e947bc42458f8b69622988b3c6: not_supported

wrote 176 verdict(s) to run/answerability.jsonl
